category,name,current_runtime_image,original_reference_image,target_modern_image,prompt,note
lock,Iron Lock,/game/images/misc/serrure.png,/game/images/misc/original/iron_lock.bmp,/game/images/misc/wall_lock_iron.png,"Dungeon Master wall lock overlay, centered iron lock only, front-facing orthographic game sprite, transparent background, no wall stones around it, compact square composition, dark forged iron plate and keyhole, medieval dungeon hardware, readable at small size, faithful to the original 1987 Dungeon Master iron lock silhouette, hand-painted realistic texture, no perspective, no shadow, no glow","Replace the generic serrure.png with a dedicated remake."
lock,Double Iron Lock,/game/images/misc/serrure.png,/game/images/misc/original/double_iron_lock.bmp,/game/images/misc/wall_lock_double_iron.png,"Dungeon Master wall lock overlay, centered double iron lock only, front-facing orthographic game sprite, transparent background, no wall stones around it, compact square composition, heavy forged iron mechanism with two distinct lock apertures, medieval dungeon hardware, readable at small size, faithful to the original 1987 Dungeon Master double iron lock silhouette, hand-painted realistic texture, no perspective, no shadow, no glow","Needs a visibly double mechanism, not just a recolor."
lock,Square Lock,/game/images/misc/serrure.png,/game/images/misc/original/square_lock.bmp,/game/images/misc/wall_lock_square.png,"Dungeon Master wall lock overlay, centered square lock only, front-facing orthographic game sprite, transparent background, no wall stones around it, compact square composition, rigid square metal plate with square key aperture, medieval dungeon hardware, readable at small size, faithful to the original 1987 Dungeon Master square lock silhouette, hand-painted realistic texture, no perspective, no shadow, no glow","Distinct square geometry is the main read."
lock,Winged Lock,/game/images/misc/serrure.png,/game/images/misc/original/winged_lock.bmp,/game/images/misc/wall_lock_winged.png,"Dungeon Master wall lock overlay, centered winged lock only, front-facing orthographic game sprite, transparent background, no wall stones around it, compact square composition, ornate metal lock with small wing-like side flares, medieval dungeon hardware, readable at small size, faithful to the original 1987 Dungeon Master winged lock silhouette, hand-painted realistic texture, no perspective, no shadow, no glow","The side wing shapes must stay readable at tiny size."
lock,Onyx Lock,/game/images/misc/serrure.png,/game/images/misc/original/onyx_lock.bmp,/game/images/misc/wall_lock_onyx.png,"Dungeon Master wall lock overlay, centered onyx lock only, front-facing orthographic game sprite, transparent background, no wall stones around it, compact square composition, dark polished black stone or onyx inset around the key aperture, medieval dungeon hardware, readable at small size, faithful to the original 1987 Dungeon Master onyx lock silhouette, hand-painted realistic texture, no perspective, no shadow, no glow","Should read as mineral and dark, not plain metal."
lock,Stone Lock,/game/images/misc/serrure.png,/game/images/misc/original/stone_lock.bmp,/game/images/misc/wall_lock_stone.png,"Dungeon Master wall lock overlay, centered stone lock only, front-facing orthographic game sprite, transparent background, no wall stones around it, compact square composition, carved stone lock plate with worn chiselled edges and a clear lock opening, medieval dungeon hardware, readable at small size, faithful to the original 1987 Dungeon Master stone lock silhouette, hand-painted realistic texture, no perspective, no shadow, no glow","This one should feel carved from the dungeon itself."
lock,Cross Lock,/game/images/misc/serrure.png,/game/images/misc/original/cross_lock.bmp,/game/images/misc/wall_lock_cross.png,"Dungeon Master wall lock overlay, centered cross lock only, front-facing orthographic game sprite, transparent background, no wall stones around it, compact square composition, metal lock plate with a strong cross-shaped aperture and medieval ornamentation, readable at small size, faithful to the original 1987 Dungeon Master cross lock silhouette, hand-painted realistic texture, no perspective, no shadow, no glow","Cross read must be immediate."
lock,Topaz Lock,/game/images/misc/serrure.png,/game/images/misc/original/topaz_lock.bmp,/game/images/misc/wall_lock_topaz.png,"Dungeon Master wall lock overlay, centered topaz lock only, front-facing orthographic game sprite, transparent background, no wall stones around it, compact square composition, precious topaz gem accent set into a metal lock plate, warm amber tones, readable at small size, faithful to the original 1987 Dungeon Master topaz lock silhouette, hand-painted realistic texture, no perspective, no shadow, no glow","Use gemstone color as the quick identifier without making it gaudy."
lock,Skeleton Lock,/game/images/misc/serrure.png,/game/images/misc/original/skeleton_lock.bmp,/game/images/misc/wall_lock_skeleton.png,"Dungeon Master wall lock overlay, centered skeleton lock only, front-facing orthographic game sprite, transparent background, no wall stones around it, compact square composition, pale bone-like or ivory-toned lock hardware with a classic skeleton-key feel, readable at small size, faithful to the original 1987 Dungeon Master skeleton lock silhouette, hand-painted realistic texture, no perspective, no shadow, no glow","Should read as an old skeleton-key lock, not a skull ornament."
lock,Gold Lock,/game/images/misc/serrure.png,/game/images/misc/original/gold_lock.bmp,/game/images/misc/wall_lock_gold.png,"Dungeon Master wall lock overlay, centered gold lock only, front-facing orthographic game sprite, transparent background, no wall stones around it, compact square composition, rich gilded lock plate with clear key aperture, medieval dungeon treasure-door hardware, readable at small size, faithful to the original 1987 Dungeon Master gold lock silhouette, hand-painted realistic texture, no perspective, no shadow, no glow","Make it valuable-looking but still grimy dungeon metal."
lock,Tourquoise Lock,/game/images/misc/serrure.png,/game/images/misc/original/tourquoise_lock.bmp,/game/images/misc/wall_lock_tourquoise.png,"Dungeon Master wall lock overlay, centered tourquoise lock only, front-facing orthographic game sprite, transparent background, no wall stones around it, compact square composition, turquoise gemstone or enamel accent around the key aperture, medieval dungeon hardware, readable at small size, faithful to the original 1987 Dungeon Master tourquoise lock silhouette, hand-painted realistic texture, no perspective, no shadow, no glow","Keep the repo spelling Tourquoise to match data and filenames."
lock,Emerald Lock,/game/images/misc/serrure.png,/game/images/misc/original/emerald_lock.bmp,/game/images/misc/wall_lock_emerald.png,"Dungeon Master wall lock overlay, centered emerald lock only, front-facing orthographic game sprite, transparent background, no wall stones around it, compact square composition, emerald gemstone accent set into worn metal lock hardware, readable at small size, faithful to the original 1987 Dungeon Master emerald lock silhouette, hand-painted realistic texture, no perspective, no shadow, no glow","Green gem accent is the main identifier."
lock,Ruby Lock,/game/images/misc/serrure.png,/game/images/misc/original/ruby_lock.bmp,/game/images/misc/wall_lock_ruby.png,"Dungeon Master wall lock overlay, centered ruby lock only, front-facing orthographic game sprite, transparent background, no wall stones around it, compact square composition, ruby gemstone accent set into worn metal lock hardware, readable at small size, faithful to the original 1987 Dungeon Master ruby lock silhouette, hand-painted realistic texture, no perspective, no shadow, no glow","Red gem accent is the main identifier."
lock,Ra Lock,/game/images/misc/serrure.png,/game/images/misc/original/ra_lock.bmp,/game/images/misc/wall_lock_ra.png,"Dungeon Master wall lock overlay, centered Ra lock only, front-facing orthographic game sprite, transparent background, no wall stones around it, compact square composition, mystical sun-god inspired lock with angular gold details and a sacred key aperture, readable at small size, faithful to the original 1987 Dungeon Master Ra lock silhouette, hand-painted realistic texture, no perspective, no shadow, no glow","Should visually connect to the Ra Door family."
lock,Master Lock,/game/images/misc/serrure.png,/game/images/misc/original/master_lock.bmp,/game/images/misc/wall_lock_master.png,"Dungeon Master wall lock overlay, centered master lock only, front-facing orthographic game sprite, transparent background, no wall stones around it, compact square composition, elaborate high-tier lock with premium metalwork and a strong central key aperture, medieval dungeon hardware, readable at small size, faithful to the original 1987 Dungeon Master master lock silhouette, hand-painted realistic texture, no perspective, no shadow, no glow","Should look like the most prestigious lock in the set."
slot,Coin Slot,/game/images/misc/serrure.png,/game/images/misc/original/coin_slot.bmp,/game/images/misc/wall_coin_slot.png,"Dungeon Master wall mechanism overlay, centered coin slot only, front-facing orthographic game sprite, transparent background, no wall stones around it, compact square composition, narrow insertion slot in a worn metal plate, clearly readable at small size, medieval dungeon puzzle hardware, faithful to the original 1987 Dungeon Master coin slot silhouette, hand-painted realistic texture, no perspective, no shadow, no glow","Separate from the lock family even if the framing language stays similar."
slot,Gem Hole,/game/images/misc/eye.png,/game/images/misc/original/gem_hole.bmp,/game/images/misc/wall_gem_hole.png,"Dungeon Master wall mechanism overlay, centered gem hole only, front-facing orthographic game sprite, transparent background, no wall stones around it, compact square composition, recessed socket shaped to receive a gem, subtle mystical cut facets around the opening, clearly readable at small size, faithful to the original 1987 Dungeon Master gem hole silhouette, hand-painted realistic texture, no perspective, no shadow, no glow","Current runtime reuses eye.png; needs a dedicated socket remake instead."
